,Annee,Mois,meanAVG
0,1970,1,18.75745027128945
1,1970,2,18.75745027128945
2,1970,3,19.08807707704819
3,1970,4,19.08807707704819
4,1970,5,16.980763816527485
5,1970,6,20.011945807627608
6,1970,7,21.78814882224419
7,1970,8,21.292829810665154
8,1970,9,17.935975731045882
9,1970,10,13.077123436120731
10,1970,11,19.08807707704819
11,1970,12,18.75745027128945
12,1971,1,18.75745027128945
13,1971,2,18.75745027128945
14,1971,3,18.75745027128945
15,1971,4,19.08807707704819
16,1971,5,16.219767352490734
17,1971,6,19.0482980798505
18,1971,7,21.716625077875435
19,1971,8,20.95908378640268
20,1971,9,17.187596503475454
21,1971,10,19.08807707704819
22,1971,11,18.75745027128945
23,1971,12,18.75745027128945
24,1972,1,18.75745027128945
25,1972,2,18.75745027128945
26,1972,3,18.75745027128945
27,1972,4,19.08807707704819
28,1972,5,15.402099712651772
29,1972,6,19.471047044894817
30,1972,7,21.769562629623014
31,1972,8,20.262697480248054
32,1972,9,15.925647067396493
33,1972,10,19.08807707704819
34,1972,11,18.75745027128945
35,1972,12,18.75745027128945
36,1973,1,14.490903873378144
37,1973,2,15.974796215615584
38,1973,3,17.335186138186216
39,1973,4,19.06708377900656
40,1973,5,21.06049832186052
41,1973,6,21.81816616707226
42,1973,7,22.540097033713703
43,1973,8,22.37647000063307
44,1973,9,21.066892898054437
45,1973,10,19.171557722120728
46,1973,11,16.382608225137574
47,1973,12,14.554822880963513
48,1974,1,14.083582658908274
49,1974,2,15.229328557175874
50,1974,3,16.86083545432115
51,1974,4,18.471922941836898
52,1974,5,20.180432683850718
53,1974,6,21.349608579620128
54,1974,7,21.880645048821084
55,1974,8,22.182951565157513
56,1974,9,21.007174885651896
57,1974,10,19.120222738220438
58,1974,11,17.023988518657163
59,1974,12,15.204736581750964
60,1975,1,14.826195297757657
61,1975,2,15.338540977174315
62,1975,3,17.141830846343254
63,1975,4,19.346957236158097
64,1975,5,20.859305237210243
65,1975,6,21.832885799853788
66,1975,7,22.557963888826325
67,1975,8,22.230037904125293
68,1975,9,21.36046813863594
69,1975,10,19.123401498886196
70,1975,11,16.676159659364785
71,1975,12,14.90152665348432
72,1976,1,14.422990251042366
73,1976,2,14.872669248775013
74,1976,3,16.318629567982914
75,1976,4,18.778454270187545
76,1976,5,20.509668248693863
77,1976,6,21.545447882927753
78,1976,7,22.250080847892786
79,1976,8,21.91930473733673
80,1976,9,20.89369639319635
81,1976,10,19.247022391082865
82,1976,11,17.063022074918962
83,1976,12,15.200083493743831
84,1977,1,14.29421894524477
85,1977,2,15.903764630453592
86,1977,3,17.7386763384613
87,1977,4,19.029944795296405
88,1977,5,20.822896243124728
89,1977,6,21.981712356948332
90,1977,7,22.522966083769234
91,1977,8,22.21387254130195
92,1977,9,21.076766087495823
93,1977,10,19.556259227229873
94,1977,11,17.557506439473876
95,1977,12,15.276929584504073
96,1978,1,14.595868190840694
97,1978,2,15.169138376452274
98,1978,3,17.22212717363037
99,1978,4,18.80141410362497
100,1978,5,20.541168133377656
101,1978,6,21.539792526847172
102,1978,7,22.206835454247827
103,1978,8,22.101827743488577
104,1978,9,21.083000315810754
105,1978,10,19.46099385841129
106,1978,11,16.856553025923862
107,1978,12,15.21118848732141
108,1979,1,14.17537928613361
109,1979,2,15.291939517244977
110,1979,3,17.04642704789526
111,1979,4,18.710992580366618
112,1979,5,20.444974613667174
113,1979,6,21.8216067558698
114,1979,7,22.027141138143374
115,1979,8,22.160502074841897
116,1979,9,21.198083612540092
117,1979,10,19.529867544675714
118,1979,11,17.09378706938087
119,1979,12,15.34079900040627
120,1980,1,14.037646053354125
121,1980,2,15.10607471524037
122,1980,3,16.675072562890247
123,1980,4,18.79557256135355
124,1980,5,20.40514304268412
125,1980,6,21.744049099944817
126,1980,7,22.135564396761676
127,1980,8,22.04900425668003
128,1980,9,21.07940167125264
129,1980,10,19.318034569160563
130,1980,11,16.774446971470216
131,1980,12,14.835161844552873
132,1981,1,14.297509802651343
133,1981,2,15.088522472374851
134,1981,3,17.456186631645565
135,1981,4,18.7586021921599
136,1981,5,20.337834684866284
137,1981,6,21.59351539445147
138,1981,7,22.06919289602354
139,1981,8,22.22349089326939
140,1981,9,21.278335528245464
141,1981,10,19.566763195348067
142,1981,11,17.101240695243646
143,1981,12,15.428757053568656
144,1982,1,14.417066627133263
145,1982,2,14.784825880547288
146,1982,3,16.759836316049984
147,1982,4,18.77931104826452
148,1982,5,20.84350102715529
149,1982,6,21.894443344179237
150,1982,7,22.511860874256485
151,1982,8,22.41138625486257
152,1982,9,21.549805400793385
153,1982,10,19.528484295595263
154,1982,11,17.14622567066163
155,1982,12,15.176913930505227
156,1983,1,14.684079308357127
157,1983,2,15.02946068424327
158,1983,3,17.2509982586205
159,1983,4,19.515163747441385
160,1983,5,21.316348811016066
161,1983,6,22.072492456251968
162,1983,7,23.03756721011278
163,1983,8,22.56743855820607
164,1983,9,21.630146751483334
165,1983,10,19.520030419818262
166,1983,11,17.311129006654202
167,1983,12,15.105356675229851
168,1984,1,14.59079047712789
169,1984,2,14.989452444897426
170,1984,3,16.690284540376208
171,1984,4,19.04126370220501
172,1984,5,20.649554548980568
173,1984,6,21.349696970657465
174,1984,7,22.13964767049404
175,1984,8,22.261706092565582
176,1984,9,21.09703960215865
177,1984,10,19.691658678493663
178,1984,11,17.10875135295298
179,1984,12,14.734528489238768
180,1985,1,13.588067827074605
181,1985,2,14.264050099288157
182,1985,3,16.458360682115842
183,1985,4,18.95477287258826
184,1985,5,20.88693790609554
185,1985,6,21.706166483833016
186,1985,7,22.319225927807338
187,1985,8,22.47216945220857
188,1985,9,21.10744517490407
189,1985,10,19.277263989997902
190,1985,11,16.90971883817164
191,1985,12,14.974824040041783
192,1986,1,14.682846401168188
193,1986,2,14.501726640814859
194,1986,3,16.826632734594693
195,1986,4,19.1087858517287
196,1986,5,20.90290594336647
197,1986,6,21.884707467721977
198,1986,7,22.21854746292608
199,1986,8,22.311552408104287
200,1986,9,20.982444510093497
201,1986,10,19.46455288417857
202,1986,11,17.12453515972927
203,1986,12,15.102155041967226
204,1987,1,14.12801071118168
205,1987,2,15.702230675969242
206,1987,3,16.525159389581766
207,1987,4,19.04769075267556
208,1987,5,20.639655443491677
209,1987,6,21.792783397451927
210,1987,7,22.692824253251413
211,1987,8,22.42305592257722
212,1987,9,21.71069622666881
213,1987,10,19.541723445677555
214,1987,11,17.529708167544122
215,1987,12,15.848126130193227
216,1988,1,15.16929441599572
217,1988,2,15.658109856679545
218,1988,3,16.961610050734638
219,1988,4,19.116855963056242
220,1988,5,21.25575409456398
221,1988,6,22.036852724793963
222,1988,7,22.835097415360558
223,1988,8,22.54450069598736
224,1988,9,21.401644736873145
225,1988,10,19.508561746974035
226,1988,11,16.54085886691123
227,1988,12,15.299758304837084
228,1989,1,14.378462641596107
229,1989,2,15.478937968511154
230,1989,3,17.504047743532375
231,1989,4,19.173271173722615
232,1989,5,20.91803120232076
233,1989,6,21.85779038250493
234,1989,7,22.81554259806599
235,1989,8,22.611922536878627
236,1989,9,21.304234070796273
237,1989,10,19.639429797808127
238,1989,11,17.29242052995244
239,1989,12,15.459285307275863
240,1990,1,14.921892188555402
241,1990,2,16.24591435506566
242,1990,3,17.782601315048836
243,1990,4,19.074071457908197
244,1990,5,20.830358821017835
245,1990,6,21.984339590239017
246,1990,7,22.50232279946983
247,1990,8,22.736742268530477
248,1990,9,21.074318071758867
249,1990,10,19.775996702579334
250,1990,11,17.587551357289122
251,1990,12,15.350350275611971
252,1991,1,14.7659536668791
253,1991,2,14.894406270863781
254,1991,3,17.27309209732359
255,1991,4,18.95460111887101
256,1991,5,20.05554940399613
257,1991,6,21.621427397884258
258,1991,7,22.559167873073523
259,1991,8,22.506447002973545
260,1991,9,21.554638349593308
261,1991,10,19.435975940676176
262,1991,11,16.955850315048227
263,1991,12,14.77828053347283
264,1992,1,14.301376449040005
265,1992,2,14.997640199552674
266,1992,3,16.818977618545144
267,1992,4,18.75635260252773
268,1992,5,20.599803020727414
269,1992,6,21.92112927187945
270,1992,7,22.272522771591
271,1992,8,22.630070341875868
272,1992,9,21.179321804365706
273,1992,10,19.183520673271826
274,1992,11,17.255048041715522
275,1992,12,15.3193631783957
276,1993,1,14.55410842212378
277,1993,2,15.00490736015313
278,1993,3,17.024970546916215
279,1993,4,19.311798170748226
280,1993,5,21.15491482400238
281,1993,6,22.039343024725465
282,1993,7,22.494762847884704
283,1993,8,22.48455132430442
284,1993,9,21.1643722853925
285,1993,10,19.783260946386395
286,1993,11,16.922572070046545
287,1993,12,16.094639732873688
288,1994,1,15.683504586402554
289,1994,2,15.611965584450214
290,1994,3,17.643633304325707
291,1994,4,19.59708375359484
292,1994,5,21.14479547789312
293,1994,6,22.055919221916138
294,1994,7,23.001063076446744
295,1994,8,22.76309611097547
296,1994,9,21.669780455117067
297,1994,10,19.557655995362193
298,1994,11,17.73476200052452
299,1994,12,15.476701275270218
300,1995,1,14.928652567110095
301,1995,2,16.317261360588716
302,1995,3,17.352643471442896
303,1995,4,19.187047870773366
304,1995,5,21.07173973202557
305,1995,6,22.308478060706534
306,1995,7,23.14200906157974
307,1995,8,22.95525010153725
308,1995,9,21.442392931504784
309,1995,10,20.153681128458093
310,1995,11,17.48364162971991
311,1995,12,15.243400288131943
312,1996,1,14.766446713277288
313,1996,2,15.074697392741037
314,1996,3,16.65944273125615
315,1996,4,19.04175712340862
316,1996,5,21.085064123825042
317,1996,6,21.9948895349963
318,1996,7,22.613428291703332
319,1996,8,22.774342367362177
320,1996,9,21.12835388916744
321,1996,10,19.611179443469354
322,1996,11,17.59171755063646
323,1996,12,15.469585023060576
324,1997,1,14.777567573467842
325,1997,2,15.62128842717659
326,1997,3,17.28551986612373
327,1997,4,18.56831178898866
328,1997,5,20.92218471603453
329,1997,6,22.317252787606254
330,1997,7,22.73957436046284
331,1997,8,22.91274019548756
332,1997,9,21.47815573192702
333,1997,10,19.538709252291717
334,1997,11,17.516373126223304
335,1997,12,15.617832834978968
336,1998,1,15.141548557403999
337,1998,2,16.4209304529034
338,1998,3,17.240215042898082
339,1998,4,19.94626019319474
340,1998,5,21.42381612390387
341,1998,6,22.6778949405917
342,1998,7,23.14224586326093
343,1998,8,23.18194073779754
344,1998,9,21.763330051138407
345,1998,10,20.03625147470277
346,1998,11,17.40281147045891
347,1998,12,15.646904509311293
348,1999,1,15.410609233028842
349,1999,2,15.977201404726143
350,1999,3,17.622478841477857
351,1999,4,19.620224564941985
352,1999,5,21.215955901627066
353,1999,6,22.496760720574397
354,1999,7,23.062786877592902
355,1999,8,22.961626385282898
356,1999,9,22.013105240326286
357,1999,10,19.869974839650947
358,1999,11,17.39053183127666
359,1999,12,15.704199409750462
360,2000,1,14.62241967818175
361,2000,2,15.589008483670582
362,2000,3,17.032070415724945
363,2000,4,19.788955074020443
364,2000,5,21.226011535364684
365,2000,6,22.2691788717277
366,2000,7,22.688020023151964
367,2000,8,22.951684210786556
368,2000,9,21.519797237802145
369,2000,10,19.920370482528895
370,2000,11,17.7205407572598
371,2000,12,15.840948265565565
